from ,to,seats,tipo 
ADB,ATH,814,EU
AGP,ATH,1522,EU
AMM,ATH,2052,extra_EU
AMS,ATH,6001,EU
ARN,KLX,522,EU
ARN,ATH,3063,EU
ATH,BCN,6796,EU
ATH,BER,1680,EU
ATH,HBE,1230,extra_EU
ATH,LIS,5228,EU
ATH,MAD,6408,EU
ATH,MRS,3042,EU
ATH,NCE,3258,EU
ATH,TBS,3194,EU
ATH,BEG,2934,EU
ATH,BRU,8469,EU
ATH,BSL,888,EU
ATH,KGS,10397,EU
ATH,NAP,2448,EU
ATH,ZRH,6315,EU
ATH,BEY,4421,extra_EU
ATH,BLQ,2382,EU
ATH,BOD,2262,EU
ATH,CDG,21964,EU
ATH,CFU,15207,EU
ATH,ADB,814,EU
ATH,AMM,2022,extra_EU
ATH,AXD,9093,EU
ATH,BER,3402,EU
ATH,CPH,4764,EU
ATH,DUS,5300,EU
ATH,JED,1566,extra_EU
ATH,JMK,28457,EU
ATH,KRK,984,EU
ATH,LYS,2442,EU
ATH,OPO,1398,EU
ATH,OTP,8052,EU
ATH,TLV,14638,extra_EU
ATH,ARN,3063,EU
ATH,BUD,2172,EU
ATH,EIN,522,EU
ATH,FCO,11776,EU
ATH,LUX,3065,EU
ATH,MAN,2833,EU
ATH,CAI,7748,extra_EU
ATH,DBV,2958,EU
ATH,EVN,4324,EU
ATH,IST,11628,EU
ATH,MXP,10982,EU
ATH,VLC,900,EU
ATH,AGP,1702,EU
ATH,DUB,1392,EU
ATH,JTR,41068,EU
ATH,MJT,13332,EU
ATH,SKP,440,EU
ATH,SXB,180,EU
ATH,TGD,702,EU
ATH,VCE,3408,EU
ATH,CGN,528,EU
ATH,EDI,1572,EU
ATH,FLR,1008,EU
ATH,HER,36929,EU
ATH,LHR,19070,EU
ATH,MUC,6648,EU
ATH,NTE,1566,EU
ATH,OSL,1404,EU
ATH,RUH,1809,extra_EU
ATH,SOF,5106,EU
ATH,TUN,1296,extra_EU
ATH,VIE,5622,EU
ATH,WAW,5885,EU
ATH,AMS,6001,EU
ATH,CHQ,21196,EU
ATH,CTA,2262,EU
ATH,FRA,6050,EU
ATH,GVA,5655,EU
ATH,HAM,3171,EU
ATH,HEL,1392,EU
ATH,LCA,33130,EU
ATH,MLA,1566,EU
ATH,PRG,5226,EU
ATH,SKG,45576,EU
ATH,STR,3012,EU
ATH,RHO,21423,EU
ATH,TLS,2356,EU
ATH,ZAG,870,EU
ATH,TIA,5190,EU
ATH,TLL,1392,EU
AXD,ATH,9093,EU
BCN,ATH,6622,EU
BEG,HER,723,EU
BEG,ATH,2934,EU
BEG,RHO,696,EU
BER,ATH,3228,EU
BER,SKG,870,EU
BER,ATH,1854,EU
BER,SKG,1218,EU
BES,HER,750,EU
BEY,ATH,4173,extra_EU
BLQ,ATH,2382,EU
BOD,ATH,2262,EU
BOD,HER,1593,EU
BRU,ATH,8448,EU
BRU,SKG,2262,EU
BRU,SXB,201,EU
BRU,KLX,696,EU
BSL,ATH,888,EU
BUD,ATH,2172,EU
CAI,ATH,7768,extra_EU
CDG,JMK,2436,EU
CDG,KLX,1392,EU
CDG,CFU,2958,EU
CDG,SKG,2088,EU
CDG,ATH,21964,EU
CDG,HER,6213,EU
CDG,RHO,3654,EU
CFU,CDG,2958,EU
CFU,ATH,15207,EU
CGN,ATH,528,EU
CHQ,ATH,21196,EU
CPH,ATH,4764,EU
CTA,ATH,2262,EU
DBV,ATH,2958,EU
DOL,HER,696,EU
DUB,ATH,1392,EU
DUS,HER,1968,EU
DUS,SKG,5220,EU
DUS,ATH,5300,EU
EDI,ATH,1572,EU
EIN,ATH,522,EU
EVN,ATH,4323,EU
FCO,ATH,11776,EU
FLR,ATH,1008,EU
FRA,SKG,6050,EU
FRA,RHO,1566,EU
FRA,ATH,6050,EU
FRA,HER,3441,EU
GVA,ATH,5655,EU
HAM,SKG,1566,EU
HAM,ATH,3171,EU
HBE,ATH,1230,extra_EU
HEL,ATH,1392,EU
HER,DUS,1968,EU
HER,BEG,723,EU
HER,NTE,1620,EU
HER,DOL,696,EU
HER,LYS,2343,EU
HER,ATH,37632,EU
HER,BOD,1593,EU
HER,CDG,6213,EU
HER,BES,750,EU
HER,MUC,4326,EU
HER,TIA,1392,EU
HER,TLS,1620,EU
HER,TLV,5480,extra_EU
HER,VIE,2262,EU
HER,FRA,3441,EU
HER,STR,1566,EU
HER,ZRH,2451,EU
IST,ATH,11628,EU
JED,ATH,1392,extra_EU
JMK,CDG,2436,EU
JMK,TLV,1593,extra_EU
JMK,ATH,28355,EU
JTR,ATH,41074,EU
JTR,TLV,1392,extra_EU
KGS,ATH,10325,EU
